LAST_SCRAPE_DATE: 01/23/2024
YEAR,MAKE,MODEL,SALE_PRICE,SALE_DATE,LISTING_TYPE
2022,PORSCHE,911 GT3 TOURING 6-SPEED,264000.0,2023-12-19,SOLD 
2024,PORSCHE,911 GT3 RS WEISSACH,None,None,None
1996,PORSCHE,911 CARRERA 4S 6-SPEED,216000.0,2023-12-19,SOLD 
2000,PORSCHE,911 CARRERA COUPE 6-SPEED,23750.0,2023-12-19,SOLD 
2011,PORSCHE,911 TURBO S COUPE,71500.0,2023-12-19,SOLD 
1974,PORSCHE,40-YEARS-OWNED  911 CARRERA COUPE TWIN-PLUG 5-SPEED,85500.0,2023-12-19,SOLD 
2023,PORSCHE,911 CARRERA 4 GTS COUPE 7-SPEED,205000.0,2023-12-19,BID 
2007,PORSCHE,911 TURBO COUPE 6-SPEED,116000.0,2023-12-19,SOLD 
1969,PORSCHE,ORIGINAL-OWNER  911T COUPE,76000.0,2023-12-19,SOLD 
2008,PORSCHE,911 TURBO CABRIOLET 6-SPEED,99500.0,2023-12-18,BID 
0000,PORSCHE,16×6″ AND 16×7″ FUCHS WHEELS FOR,1650.0,2023-12-18,SOLD 
0000,PORSCHE,17×8″ AND 17×9″ CUP 1 WHEELS,4600.0,2023-12-18,SOLD 
0000,PORSCHE,RECARO SEATS FOR 964 SPEEDSTER,17964.0,2023-12-18,SOLD 
1987,PORSCHE,911 CARRERA COUPE G50,110000.0,2023-12-18,SOLD 
2019,PORSCHE,911 GT2 RS WEISSACH,379000.0,2023-12-18,SOLD 
2016,PORSCHE,911 CARRERA BLACK EDITION,58000.0,2023-12-18,SOLD 
1972,PORSCHE,EWAN MCGREGOR’S  911T TARGA 5-SPEED,166000.0,2023-12-18,SOLD 
2009,PORSCHE,911 CARRERA S COUPE,41000.0,2023-12-18,BID 
1977,PORSCHE,3.6L-POWERED  911S COUPE,65000.0,2023-12-18,SOLD 
1973,PORSCHE,SINGLE-FAMILY-OWNED  911S COUPE 5-SPEED,240000.0,2023-12-18,SOLD 
0000,PORSCHE,997 ADAPTIVE SPORT SEATS,7000.0,2023-12-17,SOLD 
2018,PORSCHE,911 CARRERA T,81500.0,2023-12-17,SOLD 
2014,PORSCHE,911 50TH ANNIVERSARY EDITION,117000.0,2023-12-17,SOLD 
1988,PORSCHE,34-YEARS-OWNED  911 CARRERA CABRIOLET G50,48500.0,2023-12-17,BID 
1985,PORSCHE,911 CARRERA TARGA,62000.0,2023-12-17,SOLD 
1990,PORSCHE,28-YEARS-OWNED  911 CARRERA 2 TARGA 5-SPEED,80500.0,2023-12-16,SOLD 
1987,PORSCHE,3.6L-POWERED  911 CARRERA CABRIOLET G50,46000.0,2023-12-16,SOLD 
2001,PORSCHE,911 CARRERA COUPE,21001.0,2023-12-16,SOLD 
1989,PORSCHE,911 CARRERA COUPE G50,85000.0,2023-12-16,SOLD 
2008,PORSCHE,7K-KILOMETER  911 GT3,134911.0,2023-12-16,BID 
2007,PORSCHE,911 TURBO COUPE 6-SPEED,186000.0,2023-12-16,BID 
2004,PORSCHE,911 CARRERA 4S CABRIOLET 6-SPEED,33250.0,2023-12-16,SOLD 
2014,PORSCHE,911 TURBO S COUPE,115000.0,2023-12-16,SOLD 
2019,PORSCHE,911 CARRERA GTS COUPE,132000.0,2023-12-16,SOLD 
0000,PORSCHE,18×8.5″ AND 18×10″ BBS LM WHEELS FOR,5300.0,2023-12-16,SOLD 
2003,PORSCHE,911 TURBO COUPE X50 6-SPEED,73000.0,2023-12-15,BID 
